"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 19 10:04:07 UTC 2025","Sat Jul 19 10:04:08 UTC 2025","703","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","createBookTest","Create book Create book: All valid fields",""
"passed","Sat Jul 19 10:04:04 UTC 2025","Sat Jul 19 10:04:04 UTC 2025","329","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","getBookBoundaryIdValueTest","Get book with boundary ID value Get book with boundary ID value: 2147483648 value",""
"failed","Sat Jul 19 10:03:51 UTC 2025","Sat Jul 19 10:03:55 UTC 2025","4032","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","updateNotExistingAuthorTest","Update not existing author",""
"passed","Sat Jul 19 10:03:53 UTC 2025","Sat Jul 19 10:03:54 UTC 2025","334","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","getAuthorBoundaryIdValueTest","Get author with boundary ID value Get author with boundary ID value: 2147483647 value",""
"failed","Sat Jul 19 10:03:53 UTC 2025","Sat Jul 19 10:03:55 UTC 2025","2182","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","deleteExistingAuthorTest","Delete existing author",""
"passed","Sat Jul 19 10:04:03 UTC 2025","Sat Jul 19 10:04:04 UTC 2025","512","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","getBookBoundaryIdValueTest","Get book with boundary ID value Get book with boundary ID value: 2147483647 value",""
"failed","Sat Jul 19 10:04:09 UTC 2025","Sat Jul 19 10:04:09 UTC 2025","716","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","createBookTest","Create book Create book: Only required field",""
"failed","Sat Jul 19 10:04:08 UTC 2025","Sat Jul 19 10:04:09 UTC 2025","658","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","createBookTest","Create book Create book: Max length sting fields",""
"passed","Sat Jul 19 10:03:51 UTC 2025","Sat Jul 19 10:03:53 UTC 2025","1986","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","getAuthorStringIdValueTest","Get author with string ID value",""
"failed","Sat Jul 19 10:03:57 UTC 2025","Sat Jul 19 10:04:01 UTC 2025","3730","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","updateAuthorWithNotRequiredFieldsTest","Update author with not required fields Update author with not required fields: {lastName=Goodwin}",""
"failed","Sat Jul 19 10:04:08 UTC 2025","Sat Jul 19 10:04:10 UTC 2025","1824","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","updateBookTest","Update existing book Update existing book: All valid fields",""
"failed","Sat Jul 19 10:03:51 UTC 2025","Sat Jul 19 10:03:56 UTC 2025","4244","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","getBooksListWithCreatedBookTest","All books list contains created book",""
"passed","Sat Jul 19 10:03:55 UTC 2025","Sat Jul 19 10:03:56 UTC 2025","284","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","getAuthorByValidIdTest","Get author by valid ID",""
"failed","Sat Jul 19 10:04:08 UTC 2025","Sat Jul 19 10:04:09 UTC 2025","1646","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","createBookWithNotRequiredFieldsTest","Create book with not required fields Create book with not required fields: {description=Rerum ut sit.}",""
"failed","Sat Jul 19 10:04:07 UTC 2025","Sat Jul 19 10:04:07 UTC 2025","274","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","deleteBookBoundaryIdValueTest","Delete Books with boundary ID value Delete Books with boundary ID value: 2147483647 value",""
"failed","Sat Jul 19 10:03:54 UTC 2025","Sat Jul 19 10:03:56 UTC 2025","2243","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","createAuthorWithNotRequiredFieldsTest","Create author with not required fields Create author with not required fields: {lastName=Fadel}",""
"failed","Sat Jul 19 10:04:04 UTC 2025","Sat Jul 19 10:04:06 UTC 2025","2245","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","updateAuthorTest","Update author Update author: Only required field",""
"failed","Sat Jul 19 10:03:57 UTC 2025","Sat Jul 19 10:03:59 UTC 2025","1240","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","deleteBookWithInvalidIdTest","Delete book with an invalid ID",""
"failed","Sat Jul 19 10:04:09 UTC 2025","Sat Jul 19 10:04:11 UTC 2025","1841","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","updateBookTest","Update existing book Update existing book: Only required field",""
"failed","Sat Jul 19 10:03:54 UTC 2025","Sat Jul 19 10:03:57 UTC 2025","3714","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","updateAuthorWithNotRequiredFieldsTest","Update author with not required fields Update author with not required fields: {firstName=Tamika}",""
"failed","Sat Jul 19 10:03:59 UTC 2025","Sat Jul 19 10:04:02 UTC 2025","3310","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","updateBookWithNotRequiredFieldsTest","Update book with not required fields Update book with not required fields: {title=In a Dry Season}",""
"passed","Sat Jul 19 10:03:51 UTC 2025","Sat Jul 19 10:03:53 UTC 2025","2224","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","getAllAuthorListTest","Get all authors list",""
"failed","Sat Jul 19 10:04:04 UTC 2025","Sat Jul 19 10:04:05 UTC 2025","1555","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","deleteExistingBookTest","Delete existing book",""
"failed","Sat Jul 19 10:04:03 UTC 2025","Sat Jul 19 10:04:03 UTC 2025","602","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","createAuthorTest","Create author Create author: All valid fields",""
"passed","Sat Jul 19 10:03:56 UTC 2025","Sat Jul 19 10:03:57 UTC 2025","764","","com.bookstore.demo.api.test.AuthorsTests","","com.bookstore.demo.api.test.AuthorsTests","getAuthorByInvalidIdTest","Get author by invalid ID",""
"failed","Sat Jul 19 10:04:06 UTC 2025","Sat Jul 19 10:04:08 UTC 2025","1760","","com.bookstore.demo.api.test.BooksTests","","com.bookstore.demo.api.test.BooksTests","createBookWithNotRequiredFieldsTest","Create book with not required fields Create book with not required fields: {excerpt=Ab voluptatum qui vel modi et quaerat qui. Nostrum vel ut. Quos laboriosam omnis similique asperiores id. Voluptatem officiis eos natus ut laboriosam non.}",""
